plan_id,plan_name,monthly_fee,data_limit_gb
102646,Plan_2646,10,5
102647,Plan_2647,40,20
102648,Plan_2648,20,50
102649,Plan_2649,50,5
102650,Plan_2650,20,100
102651,Plan_2651,20,50
102652,Plan_2652,40,10
102653,Plan_2653,40,5
102654,Plan_2654,20,100
102655,Plan_2655,50,50
102656,Plan_2656,40,50
102657,Plan_2657,10,20
102658,Plan_2658,20,20
102659,Plan_2659,20,100
102660,Plan_2660,10,50
102661,Plan_2661,30,20
102662,Plan_2662,10,50
102663,Plan_2663,10,5
102664,Plan_2664,10,100
102665,Plan_2665,40,20
102666,Plan_2666,20,20
102667,Plan_2667,50,20
102668,Plan_2668,40,20
102669,Plan_2669,10,20
102670,Plan_2670,10,5
102671,Plan_2671,20,100
102672,Plan_2672,50,5
102673,Plan_2673,20,50
102674,Plan_2674,20,5
102675,Plan_2675,30,10
102676,Plan_2676,40,50
102677,Plan_2677,20,50
102678,Plan_2678,20,100
102679,Plan_2679,10,20
102680,Plan_2680,30,20
102681,Plan_2681,40,5
102682,Plan_2682,50,100
102683,Plan_2683,20,100
102684,Plan_2684,30,10
102685,Plan_2685,10,100
102686,Plan_2686,40,100
102687,Plan_2687,10,50
102688,Plan_2688,40,50
102689,Plan_2689,30,100
102690,Plan_2690,10,100
102691,Plan_2691,20,10
102692,Plan_2692,50,100
102693,Plan_2693,30,100
102694,Plan_2694,50,50
102695,Plan_2695,30,20
102696,Plan_2696,30,5
102697,Plan_2697,20,20
102698,Plan_2698,50,50
102699,Plan_2699,20,50
102700,Plan_2700,10,50
102701,Plan_2701,30,10
102702,Plan_2702,10,50
102703,Plan_2703,50,100
102704,Plan_2704,10,5
102705,Plan_2705,40,20
102706,Plan_2706,10,10
102707,Plan_2707,30,10
102708,Plan_2708,50,100
102709,Plan_2709,50,5
102710,Plan_2710,50,50
102711,Plan_2711,20,100
102712,Plan_2712,40,50
102713,Plan_2713,30,100
102714,Plan_2714,20,10
102715,Plan_2715,20,50
102716,Plan_2716,30,50
102717,Plan_2717,40,5
102718,Plan_2718,30,5
102719,Plan_2719,20,5
102720,Plan_2720,50,5
102721,Plan_2721,50,5
102722,Plan_2722,30,10
102723,Plan_2723,50,50
102724,Plan_2724,10,10
102725,Plan_2725,50,10
102726,Plan_2726,40,10
102727,Plan_2727,30,20
102728,Plan_2728,20,5
102729,Plan_2729,30,5
102730,Plan_2730,20,10
102731,Plan_2731,10,100
102732,Plan_2732,10,20
102733,Plan_2733,40,50
102734,Plan_2734,20,5
102735,Plan_2735,30,20
102736,Plan_2736,10,5
102737,Plan_2737,10,50
102738,Plan_2738,50,20
102739,Plan_2739,10,100
102740,Plan_2740,20,10
102741,Plan_2741,30,20
102742,Plan_2742,20,100
102743,Plan_2743,10,5
102744,Plan_2744,50,50
102745,Plan_2745,50,20
102746,Plan_2746,10,10
102747,Plan_2747,20,20
102748,Plan_2748,50,50
102749,Plan_2749,10,100
102750,Plan_2750,50,50
102751,Plan_2751,20,50
102752,Plan_2752,30,100
102753,Plan_2753,40,10
102754,Plan_2754,20,10
102755,Plan_2755,30,5
102756,Plan_2756,40,20
102757,Plan_2757,20,10
102758,Plan_2758,30,5
102759,Plan_2759,30,10
102760,Plan_2760,20,50
102761,Plan_2761,10,5
102762,Plan_2762,50,100
102763,Plan_2763,10,5
102764,Plan_2764,20,20
102765,Plan_2765,40,100
102766,Plan_2766,40,5
102767,Plan_2767,40,10
102768,Plan_2768,10,50
102769,Plan_2769,10,10
102770,Plan_2770,50,50
102771,Plan_2771,40,10
102772,Plan_2772,10,10
102773,Plan_2773,10,5
102774,Plan_2774,50,20
102775,Plan_2775,20,50
102776,Plan_2776,40,10
102777,Plan_2777,10,100
102778,Plan_2778,30,10
102779,Plan_2779,40,100
102780,Plan_2780,50,5
102781,Plan_2781,10,20
102782,Plan_2782,40,50
102783,Plan_2783,50,20
102784,Plan_2784,10,5
102785,Plan_2785,10,50
102786,Plan_2786,20,10
102787,Plan_2787,30,100
102788,Plan_2788,10,5
102789,Plan_2789,40,10
102790,Plan_2790,50,50
102791,Plan_2791,10,10
102792,Plan_2792,10,50
102793,Plan_2793,20,10
102794,Plan_2794,10,5
102795,Plan_2795,20,100
102796,Plan_2796,40,100
102797,Plan_2797,10,100
102798,Plan_2798,40,5
102799,Plan_2799,40,50
102800,Plan_2800,20,10
102801,Plan_2801,10,5
102802,Plan_2802,30,20
102803,Plan_2803,30,50
102804,Plan_2804,10,50
102805,Plan_2805,10,100
102806,Plan_2806,20,100
102807,Plan_2807,10,50
102808,Plan_2808,10,50
102809,Plan_2809,30,20
102810,Plan_2810,20,50
102811,Plan_2811,10,10
102812,Plan_2812,20,20
102813,Plan_2813,30,10
102814,Plan_2814,20,20
102815,Plan_2815,20,5
102816,Plan_2816,40,5
102817,Plan_2817,20,20
102818,Plan_2818,20,10
102819,Plan_2819,50,20
102820,Plan_2820,10,10
102821,Plan_2821,10,100
102822,Plan_2822,30,20
102823,Plan_2823,40,50
102824,Plan_2824,20,50
102825,Plan_2825,50,5
102826,Plan_2826,20,10
102827,Plan_2827,40,20
102828,Plan_2828,30,5
102829,Plan_2829,20,10
102830,Plan_2830,40,50
102831,Plan_2831,10,50
102832,Plan_2832,50,20
102833,Plan_2833,50,5
102834,Plan_2834,20,20
102835,Plan_2835,30,20
102836,Plan_2836,50,100
102837,Plan_2837,30,5
102838,Plan_2838,40,5
102839,Plan_2839,20,5
102840,Plan_2840,10,100
102841,Plan_2841,10,20
102842,Plan_2842,50,100
102843,Plan_2843,10,10
102844,Plan_2844,40,100
102845,Plan_2845,40,20
102846,Plan_2846,50,100
102847,Plan_2847,40,20
102848,Plan_2848,40,100
102849,Plan_2849,40,100
102850,Plan_2850,40,10
102851,Plan_2851,20,50
102852,Plan_2852,40,5
102853,Plan_2853,10,100
102854,Plan_2854,50,20
102855,Plan_2855,30,50
102856,Plan_2856,30,5
102857,Plan_2857,50,10
102858,Plan_2858,40,100
102859,Plan_2859,10,100
102860,Plan_2860,10,100
102861,Plan_2861,10,50
102862,Plan_2862,30,100
102863,Plan_2863,50,10
102864,Plan_2864,10,50
102865,Plan_2865,30,5
102866,Plan_2866,10,50
102867,Plan_2867,50,100
102868,Plan_2868,20,50
102869,Plan_2869,50,10
102870,Plan_2870,20,20
102871,Plan_2871,20,20
102872,Plan_2872,50,20
102873,Plan_2873,50,50
102874,Plan_2874,30,50
102875,Plan_2875,10,100
102876,Plan_2876,20,5
102877,Plan_2877,20,100
102878,Plan_2878,50,50
102879,Plan_2879,30,20
102880,Plan_2880,40,10
102881,Plan_2881,20,5
102882,Plan_2882,20,5
102883,Plan_2883,20,10
102884,Plan_2884,40,10
102885,Plan_2885,10,20
102886,Plan_2886,30,5
102887,Plan_2887,20,10
102888,Plan_2888,10,5
102889,Plan_2889,10,5
102890,Plan_2890,50,100
102891,Plan_2891,40,10
102892,Plan_2892,30,50
102893,Plan_2893,40,10
102894,Plan_2894,50,5
102895,Plan_2895,50,5
102896,Plan_2896,10,100
102897,Plan_2897,50,100
102898,Plan_2898,50,5
102899,Plan_2899,10,20
102900,Plan_2900,10,50
102901,Plan_2901,10,5
102902,Plan_2902,50,5
102903,Plan_2903,40,100
102904,Plan_2904,20,10
102905,Plan_2905,20,50
102906,Plan_2906,20,50
102907,Plan_2907,50,100
102908,Plan_2908,50,50
102909,Plan_2909,50,5
102910,Plan_2910,40,5
102911,Plan_2911,50,20
102912,Plan_2912,30,100
102913,Plan_2913,10,100
102914,Plan_2914,40,50
102915,Plan_2915,30,50
102916,Plan_2916,20,5
102917,Plan_2917,10,5
102918,Plan_2918,50,100
102919,Plan_2919,50,20
102920,Plan_2920,20,10
102921,Plan_2921,40,5
102922,Plan_2922,10,10
102923,Plan_2923,40,5
102924,Plan_2924,10,100
102925,Plan_2925,10,20
102926,Plan_2926,10,100
102927,Plan_2927,50,20
102928,Plan_2928,30,20
102929,Plan_2929,50,10
102930,Plan_2930,50,20
102931,Plan_2931,20,5
102932,Plan_2932,20,20
102933,Plan_2933,10,5
102934,Plan_2934,30,10
102935,Plan_2935,30,10
102936,Plan_2936,30,50
102937,Plan_2937,40,5
102938,Plan_2938,40,20
102939,Plan_2939,40,100
102940,Plan_2940,50,100
102941,Plan_2941,30,20
102942,Plan_2942,50,20
102943,Plan_2943,40,50
102944,Plan_2944,40,10
102945,Plan_2945,10,5
102946,Plan_2946,10,100
102947,Plan_2947,20,20
102948,Plan_2948,10,10
102949,Plan_2949,50,5
102950,Plan_2950,50,10
102951,Plan_2951,20,10
102952,Plan_2952,50,50
102953,Plan_2953,50,20
102954,Plan_2954,10,10
102955,Plan_2955,40,10
102956,Plan_2956,10,100
102957,Plan_2957,30,100
102958,Plan_2958,10,50
102959,Plan_2959,30,20
102960,Plan_2960,20,50
102961,Plan_2961,20,20
102962,Plan_2962,20,50
102963,Plan_2963,30,10
102964,Plan_2964,20,20
102965,Plan_2965,40,5
102966,Plan_2966,10,20
102967,Plan_2967,10,10
102968,Plan_2968,50,5
102969,Plan_2969,50,10
102970,Plan_2970,50,20
102971,Plan_2971,10,100
102972,Plan_2972,10,50
102973,Plan_2973,10,10
102974,Plan_2974,30,20
102975,Plan_2975,50,5
102976,Plan_2976,30,50
102977,Plan_2977,10,5
102978,Plan_2978,10,50
102979,Plan_2979,50,10
102980,Plan_2980,20,5
102981,Plan_2981,30,50
102982,Plan_2982,40,5
102983,Plan_2983,10,5
102984,Plan_2984,20,100
102985,Plan_2985,20,100
102986,Plan_2986,20,50
102987,Plan_2987,10,5
102988,Plan_2988,10,10
102989,Plan_2989,20,10
102990,Plan_2990,50,50
102991,Plan_2991,10,20
102992,Plan_2992,10,10
102993,Plan_2993,10,20
102994,Plan_2994,50,20
102995,Plan_2995,10,50
102996,Plan_2996,40,50
102997,Plan_2997,30,10
102998,Plan_2998,30,20
102999,Plan_2999,40,5
103000,Plan_3000,30,10
103001,Plan_3001,20,50
103002,Plan_3002,40,10
103003,Plan_3003,30,50
103004,Plan_3004,10,5
103005,Plan_3005,50,5
103006,Plan_3006,30,10
103007,Plan_3007,10,20
103008,Plan_3008,40,10
103009,Plan_3009,30,50
103010,Plan_3010,20,20
103011,Plan_3011,20,20
103012,Plan_3012,50,50
103013,Plan_3013,10,50
103014,Plan_3014,40,100
103015,Plan_3015,20,10
103016,Plan_3016,30,5
103017,Plan_3017,20,50
103018,Plan_3018,20,50
103019,Plan_3019,40,5
103020,Plan_3020,50,50
103021,Plan_3021,40,50
103022,Plan_3022,30,50
103023,Plan_3023,20,10
103024,Plan_3024,30,5
103025,Plan_3025,50,50
103026,Plan_3026,40,100
103027,Plan_3027,40,100
103028,Plan_3028,30,100
103029,Plan_3029,30,50
103030,Plan_3030,40,5
103031,Plan_3031,20,100
103032,Plan_3032,10,10
103033,Plan_3033,30,5
103034,Plan_3034,10,50
103035,Plan_3035,10,100
103036,Plan_3036,30,100
103037,Plan_3037,50,50
103038,Plan_3038,30,10
103039,Plan_3039,20,10
103040,Plan_3040,30,20
103041,Plan_3041,20,20
103042,Plan_3042,10,20
103043,Plan_3043,40,50
103044,Plan_3044,50,10
103045,Plan_3045,10,10
103046,Plan_3046,10,20
103047,Plan_3047,40,20
103048,Plan_3048,50,20
103049,Plan_3049,20,20
103050,Plan_3050,30,100
103051,Plan_3051,20,5
103052,Plan_3052,40,20
103053,Plan_3053,30,5
103054,Plan_3054,10,5
103055,Plan_3055,50,50
103056,Plan_3056,20,100
103057,Plan_3057,50,5
103058,Plan_3058,50,10
103059,Plan_3059,40,10
103060,Plan_3060,10,50
103061,Plan_3061,20,20
103062,Plan_3062,20,20
103063,Plan_3063,50,20
103064,Plan_3064,50,100
103065,Plan_3065,20,5
103066,Plan_3066,50,100
103067,Plan_3067,30,100
103068,Plan_3068,40,100
103069,Plan_3069,10,50
103070,Plan_3070,40,20
103071,Plan_3071,10,20
103072,Plan_3072,10,5
103073,Plan_3073,10,10
103074,Plan_3074,10,10
103075,Plan_3075,30,20
103076,Plan_3076,20,20
103077,Plan_3077,10,10
103078,Plan_3078,20,5
103079,Plan_3079,10,50
103080,Plan_3080,10,20
103081,Plan_3081,50,100
103082,Plan_3082,40,5
103083,Plan_3083,20,50
103084,Plan_3084,20,5
103085,Plan_3085,50,50
103086,Plan_3086,10,5
103087,Plan_3087,20,10
103088,Plan_3088,10,10
103089,Plan_3089,10,100
103090,Plan_3090,40,100
103091,Plan_3091,50,100
103092,Plan_3092,50,5
103093,Plan_3093,10,5
103094,Plan_3094,30,5
103095,Plan_3095,10,10
103096,Plan_3096,30,50
103097,Plan_3097,10,10
103098,Plan_3098,10,50
103099,Plan_3099,10,100
103100,Plan_3100,40,100
103101,Plan_3101,40,5
103102,Plan_3102,10,50
103103,Plan_3103,20,20
103104,Plan_3104,50,5
103105,Plan_3105,50,20
103106,Plan_3106,10,100
103107,Plan_3107,30,50
103108,Plan_3108,50,20
103109,Plan_3109,30,5
103110,Plan_3110,10,5
103111,Plan_3111,20,50
103112,Plan_3112,30,10
103113,Plan_3113,30,100
103114,Plan_3114,20,5
103115,Plan_3115,10,50
103116,Plan_3116,20,100
103117,Plan_3117,50,50
103118,Plan_3118,50,5
103119,Plan_3119,40,10
103120,Plan_3120,40,100
103121,Plan_3121,10,10
103122,Plan_3122,40,5
103123,Plan_3123,40,5
103124,Plan_3124,40,5
103125,Plan_3125,50,100
103126,Plan_3126,10,100
103127,Plan_3127,40,10
103128,Plan_3128,20,10
103129,Plan_3129,50,100
103130,Plan_3130,40,20
103131,Plan_3131,40,50
103132,Plan_3132,10,100
103133,Plan_3133,20,50
103134,Plan_3134,30,10
103135,Plan_3135,10,50
103136,Plan_3136,40,100
103137,Plan_3137,10,5
103138,Plan_3138,20,20
103139,Plan_3139,50,5
103140,Plan_3140,50,20
103141,Plan_3141,30,50
103142,Plan_3142,50,5
103143,Plan_3143,10,10
103144,Plan_3144,30,20
103145,Plan_3145,20,10
103146,Plan_3146,20,50
103147,Plan_3147,20,10
103148,Plan_3148,10,50
103149,Plan_3149,50,5
103150,Plan_3150,40,100
103151,Plan_3151,40,100
103152,Plan_3152,30,50
103153,Plan_3153,30,50
103154,Plan_3154,40,5
103155,Plan_3155,40,50
103156,Plan_3156,30,5
103157,Plan_3157,40,100
103158,Plan_3158,10,10
103159,Plan_3159,50,20
103160,Plan_3160,20,5
103161,Plan_3161,30,5
103162,Plan_3162,10,50
103163,Plan_3163,30,10
103164,Plan_3164,40,5
103165,Plan_3165,10,50
103166,Plan_3166,10,10
103167,Plan_3167,20,20
103168,Plan_3168,10,100
103169,Plan_3169,30,10
103170,Plan_3170,30,10
103171,Plan_3171,10,100
103172,Plan_3172,50,10
103173,Plan_3173,50,10
103174,Plan_3174,30,100
103175,Plan_3175,30,100
103176,Plan_3176,10,10
103177,Plan_3177,10,5
103178,Plan_3178,30,5
103179,Plan_3179,40,100
103180,Plan_3180,10,5
103181,Plan_3181,30,10
103182,Plan_3182,10,10
103183,Plan_3183,10,20
103184,Plan_3184,10,50
103185,Plan_3185,40,20
103186,Plan_3186,50,50
103187,Plan_3187,30,50
103188,Plan_3188,20,10
103189,Plan_3189,50,20
103190,Plan_3190,20,20
103191,Plan_3191,50,5
103192,Plan_3192,10,5
103193,Plan_3193,30,5
103194,Plan_3194,10,20
103195,Plan_3195,40,50
103196,Plan_3196,30,10
103197,Plan_3197,40,100
103198,Plan_3198,50,50
103199,Plan_3199,10,20
103200,Plan_3200,40,10
103201,Plan_3201,50,20
103202,Plan_3202,30,5
103203,Plan_3203,20,100
103204,Plan_3204,10,50
103205,Plan_3205,40,20
103206,Plan_3206,10,10
103207,Plan_3207,20,100
103208,Plan_3208,30,100
103209,Plan_3209,40,100
103210,Plan_3210,10,20
103211,Plan_3211,30,20
103212,Plan_3212,20,50
103213,Plan_3213,10,100
103214,Plan_3214,40,10
103215,Plan_3215,20,50
103216,Plan_3216,10,10
103217,Plan_3217,30,20
103218,Plan_3218,40,20
103219,Plan_3219,30,50
103220,Plan_3220,40,50
103221,Plan_3221,20,5
103222,Plan_3222,30,5
103223,Plan_3223,40,5
103224,Plan_3224,10,50
103225,Plan_3225,20,5
103226,Plan_3226,50,50
103227,Plan_3227,10,20
103228,Plan_3228,40,20
103229,Plan_3229,40,100
103230,Plan_3230,20,50
103231,Plan_3231,10,10
103232,Plan_3232,10,50
103233,Plan_3233,30,20
103234,Plan_3234,20,100
103235,Plan_3235,10,10
103236,Plan_3236,40,20
103237,Plan_3237,10,20
103238,Plan_3238,50,20
103239,Plan_3239,40,10
103240,Plan_3240,40,5
103241,Plan_3241,20,100
103242,Plan_3242,20,20
103243,Plan_3243,30,50
103244,Plan_3244,50,50
103245,Plan_3245,20,50
103246,Plan_3246,20,100
103247,Plan_3247,50,20
103248,Plan_3248,10,50
103249,Plan_3249,40,50
103250,Plan_3250,30,10
103251,Plan_3251,10,50
103252,Plan_3252,40,10
103253,Plan_3253,20,50
103254,Plan_3254,10,10
103255,Plan_3255,30,10
103256,Plan_3256,50,50
103257,Plan_3257,40,50
103258,Plan_3258,20,20
103259,Plan_3259,50,10
103260,Plan_3260,20,100
103261,Plan_3261,40,100
103262,Plan_3262,40,100
103263,Plan_3263,10,50
103264,Plan_3264,10,20
103265,Plan_3265,50,100
103266,Plan_3266,40,100
103267,Plan_3267,20,10
103268,Plan_3268,10,20
103269,Plan_3269,30,10
103270,Plan_3270,30,5
103271,Plan_3271,30,5
103272,Plan_3272,50,100
103273,Plan_3273,20,50
103274,Plan_3274,20,100
103275,Plan_3275,40,5
103276,Plan_3276,30,100
103277,Plan_3277,40,50
103278,Plan_3278,30,5
103279,Plan_3279,30,10
103280,Plan_3280,30,50
103281,Plan_3281,40,5
103282,Plan_3282,40,100
103283,Plan_3283,50,50
103284,Plan_3284,40,20
103285,Plan_3285,30,20
103286,Plan_3286,20,50
103287,Plan_3287,10,100
103288,Plan_3288,10,10
103289,Plan_3289,50,20
103290,Plan_3290,20,10
103291,Plan_3291,40,10
103292,Plan_3292,40,10
103293,Plan_3293,40,10
103294,Plan_3294,20,5
103295,Plan_3295,20,10
103296,Plan_3296,20,50
103297,Plan_3297,10,5
103298,Plan_3298,10,50
103299,Plan_3299,30,50
103300,Plan_3300,40,100
103301,Plan_3301,10,50
103302,Plan_3302,10,50
103303,Plan_3303,20,5
103304,Plan_3304,30,10
103305,Plan_3305,50,100
103306,Plan_3306,30,5
103307,Plan_3307,30,20
103308,Plan_3308,50,50
103309,Plan_3309,50,100
103310,Plan_3310,20,5
103311,Plan_3311,30,10
103312,Plan_3312,10,50
103313,Plan_3313,50,5
103314,Plan_3314,20,100
103315,Plan_3315,20,10
103316,Plan_3316,10,10
103317,Plan_3317,40,100
103318,Plan_3318,50,5
103319,Plan_3319,10,20
103320,Plan_3320,20,50
103321,Plan_3321,30,50
103322,Plan_3322,10,5
103323,Plan_3323,40,100
103324,Plan_3324,10,5
103325,Plan_3325,40,50
103326,Plan_3326,10,10
103327,Plan_3327,10,50
103328,Plan_3328,20,50
103329,Plan_3329,10,20
103330,Plan_3330,10,5
103331,Plan_3331,30,100
103332,Plan_3332,20,10
103333,Plan_3333,20,50
103334,Plan_3334,40,10
103335,Plan_3335,30,20
103336,Plan_3336,40,100
103337,Plan_3337,20,5
103338,Plan_3338,40,10
103339,Plan_3339,50,20
103340,Plan_3340,40,50
103341,Plan_3341,20,100
103342,Plan_3342,10,100
103343,Plan_3343,20,100
103344,Plan_3344,10,50
103345,Plan_3345,30,20
103346,Plan_3346,10,10
103347,Plan_3347,30,100
103348,Plan_3348,50,100
103349,Plan_3349,30,5
103350,Plan_3350,50,10
103351,Plan_3351,50,10
103352,Plan_3352,20,50
103353,Plan_3353,20,50
103354,Plan_3354,20,100
103355,Plan_3355,10,10
103356,Plan_3356,50,5
103357,Plan_3357,40,10
103358,Plan_3358,30,5
103359,Plan_3359,30,100
103360,Plan_3360,40,5
103361,Plan_3361,20,50
103362,Plan_3362,40,50
103363,Plan_3363,40,20
103364,Plan_3364,20,50
103365,Plan_3365,20,100
103366,Plan_3366,30,20
103367,Plan_3367,20,100
103368,Plan_3368,40,20
103369,Plan_3369,50,100
103370,Plan_3370,30,5
103371,Plan_3371,40,5
103372,Plan_3372,50,100
103373,Plan_3373,40,20
103374,Plan_3374,10,50
103375,Plan_3375,40,20
103376,Plan_3376,40,5
103377,Plan_3377,20,5
103378,Plan_3378,50,5
103379,Plan_3379,10,100
103380,Plan_3380,20,100
103381,Plan_3381,10,10
103382,Plan_3382,20,5
103383,Plan_3383,30,20
103384,Plan_3384,20,100
103385,Plan_3385,10,20
103386,Plan_3386,30,100
103387,Plan_3387,50,5
103388,Plan_3388,50,10
103389,Plan_3389,20,10
103390,Plan_3390,30,10
103391,Plan_3391,20,10
103392,Plan_3392,20,5
103393,Plan_3393,20,10
103394,Plan_3394,30,5
103395,Plan_3395,10,10
103396,Plan_3396,30,20
103397,Plan_3397,30,5
103398,Plan_3398,10,100
103399,Plan_3399,20,20
103400,Plan_3400,30,20
103401,Plan_3401,10,10
103402,Plan_3402,40,100
103403,Plan_3403,50,100
103404,Plan_3404,50,20
103405,Plan_3405,20,100
103406,Plan_3406,20,10
103407,Plan_3407,20,10
103408,Plan_3408,30,10
103409,Plan_3409,40,10
103410,Plan_3410,50,50
103411,Plan_3411,20,5
103412,Plan_3412,50,5
103413,Plan_3413,30,100
103414,Plan_3414,50,10
103415,Plan_3415,10,10
103416,Plan_3416,30,20
103417,Plan_3417,10,10
103418,Plan_3418,50,5
103419,Plan_3419,40,20
103420,Plan_3420,50,50
103421,Plan_3421,30,100
103422,Plan_3422,50,100
103423,Plan_3423,20,5
103424,Plan_3424,10,10
103425,Plan_3425,20,50
103426,Plan_3426,40,10
103427,Plan_3427,10,50
103428,Plan_3428,40,20
103429,Plan_3429,50,20
103430,Plan_3430,30,10
103431,Plan_3431,10,5
103432,Plan_3432,40,10
103433,Plan_3433,50,20
103434,Plan_3434,10,100
103435,Plan_3435,20,50
103436,Plan_3436,30,100
103437,Plan_3437,10,100
103438,Plan_3438,20,10
103439,Plan_3439,40,50
103440,Plan_3440,10,10
103441,Plan_3441,10,50
103442,Plan_3442,30,10
103443,Plan_3443,40,10
103444,Plan_3444,40,20
103445,Plan_3445,40,20
103446,Plan_3446,20,100
103447,Plan_3447,40,20
103448,Plan_3448,40,5
103449,Plan_3449,20,5
103450,Plan_3450,50,50
103451,Plan_3451,10,50
103452,Plan_3452,20,5
103453,Plan_3453,10,100
103454,Plan_3454,50,10
103455,Plan_3455,50,20
103456,Plan_3456,30,10
103457,Plan_3457,30,5
103458,Plan_3458,20,10
103459,Plan_3459,10,5
103460,Plan_3460,30,10
103461,Plan_3461,30,20
103462,Plan_3462,10,20
103463,Plan_3463,10,20
103464,Plan_3464,20,10
103465,Plan_3465,10,100
103466,Plan_3466,10,20
103467,Plan_3467,20,5
103468,Plan_3468,50,50
103469,Plan_3469,40,100
103470,Plan_3470,40,10
103471,Plan_3471,30,50
103472,Plan_3472,50,10
103473,Plan_3473,30,20
103474,Plan_3474,20,10
103475,Plan_3475,10,100
103476,Plan_3476,50,10
103477,Plan_3477,30,20
103478,Plan_3478,50,5
103479,Plan_3479,50,10
103480,Plan_3480,10,20
103481,Plan_3481,50,50
103482,Plan_3482,40,5
103483,Plan_3483,40,50
103484,Plan_3484,40,100
103485,Plan_3485,20,10
103486,Plan_3486,20,10
103487,Plan_3487,50,100
103488,Plan_3488,50,50
103489,Plan_3489,30,5
103490,Plan_3490,30,100
103491,Plan_3491,10,10
103492,Plan_3492,30,50
103493,Plan_3493,50,20
103494,Plan_3494,40,20
103495,Plan_3495,10,100
103496,Plan_3496,30,100
103497,Plan_3497,30,100
103498,Plan_3498,50,10
103499,Plan_3499,50,10
103500,Plan_3500,30,50
103501,Plan_3501,40,10
103502,Plan_3502,40,10
103503,Plan_3503,10,100
103504,Plan_3504,30,50
103505,Plan_3505,40,10
103506,Plan_3506,50,10
103507,Plan_3507,30,20
103508,Plan_3508,20,20
103509,Plan_3509,30,5
103510,Plan_3510,50,50
103511,Plan_3511,20,100
103512,Plan_3512,20,10
103513,Plan_3513,20,20
103514,Plan_3514,10,5
103515,Plan_3515,50,10
103516,Plan_3516,30,50
103517,Plan_3517,20,20
103518,Plan_3518,40,10
103519,Plan_3519,50,50
103520,Plan_3520,20,100
103521,Plan_3521,30,10
103522,Plan_3522,10,5
103523,Plan_3523,20,10
103524,Plan_3524,20,20
103525,Plan_3525,10,20
103526,Plan_3526,50,100
103527,Plan_3527,20,100
103528,Plan_3528,10,5
103529,Plan_3529,50,50
103530,Plan_3530,40,10
103531,Plan_3531,40,5
103532,Plan_3532,20,50
103533,Plan_3533,40,5
103534,Plan_3534,30,20
103535,Plan_3535,10,100
103536,Plan_3536,30,50
103537,Plan_3537,20,10
103538,Plan_3538,10,50
103539,Plan_3539,30,5
103540,Plan_3540,10,10
103541,Plan_3541,50,5
103542,Plan_3542,10,5
103543,Plan_3543,50,10
103544,Plan_3544,20,20
103545,Plan_3545,20,100
103546,Plan_3546,50,10
103547,Plan_3547,20,10
103548,Plan_3548,30,50
103549,Plan_3549,10,5
103550,Plan_3550,50,10
103551,Plan_3551,40,5
103552,Plan_3552,10,50
103553,Plan_3553,10,100
103554,Plan_3554,20,50
103555,Plan_3555,40,5
103556,Plan_3556,30,50
103557,Plan_3557,30,50
103558,Plan_3558,10,50
103559,Plan_3559,10,50
103560,Plan_3560,40,10
103561,Plan_3561,40,20
103562,Plan_3562,20,100
103563,Plan_3563,30,5
103564,Plan_3564,10,100
103565,Plan_3565,30,10
103566,Plan_3566,40,10
103567,Plan_3567,20,20
103568,Plan_3568,40,5
103569,Plan_3569,40,50
103570,Plan_3570,20,10
103571,Plan_3571,10,10
103572,Plan_3572,20,50
103573,Plan_3573,10,5
103574,Plan_3574,50,20
103575,Plan_3575,30,5
103576,Plan_3576,40,20
103577,Plan_3577,20,10
103578,Plan_3578,10,50
103579,Plan_3579,30,20
103580,Plan_3580,30,5
103581,Plan_3581,20,50
103582,Plan_3582,20,50
103583,Plan_3583,40,50
103584,Plan_3584,50,20
103585,Plan_3585,40,50
103586,Plan_3586,10,50
103587,Plan_3587,20,20
103588,Plan_3588,50,20
103589,Plan_3589,20,100
103590,Plan_3590,10,20
103591,Plan_3591,40,5
103592,Plan_3592,40,20
103593,Plan_3593,30,5
103594,Plan_3594,50,100
103595,Plan_3595,40,5
103596,Plan_3596,10,50
103597,Plan_3597,50,100
103598,Plan_3598,50,10
103599,Plan_3599,20,20
103600,Plan_3600,20,5
103601,Plan_3601,20,20
103602,Plan_3602,50,10
103603,Plan_3603,40,20
103604,Plan_3604,30,20
103605,Plan_3605,10,50
103606,Plan_3606,20,10
103607,Plan_3607,30,20
103608,Plan_3608,40,20
103609,Plan_3609,20,100
103610,Plan_3610,40,100
103611,Plan_3611,30,50
103612,Plan_3612,50,5
103613,Plan_3613,20,20
103614,Plan_3614,30,100
103615,Plan_3615,30,10
103616,Plan_3616,40,10
103617,Plan_3617,40,100
103618,Plan_3618,50,5
103619,Plan_3619,30,50
103620,Plan_3620,20,10
103621,Plan_3621,50,50
103622,Plan_3622,30,5
103623,Plan_3623,10,5
103624,Plan_3624,50,20
103625,Plan_3625,20,100
103626,Plan_3626,30,20
103627,Plan_3627,40,20
103628,Plan_3628,20,5
103629,Plan_3629,40,20
103630,Plan_3630,20,20
103631,Plan_3631,50,100
103632,Plan_3632,10,5
103633,Plan_3633,50,10
103634,Plan_3634,40,100
103635,Plan_3635,10,20
103636,Plan_3636,40,5
103637,Plan_3637,30,50
103638,Plan_3638,40,5
103639,Plan_3639,30,10
103640,Plan_3640,40,100
103641,Plan_3641,50,20
103642,Plan_3642,30,10
103643,Plan_3643,40,5
